Date,cazhi,f,pl,t,p
2021/1/7 2:13,24.3798,25.148001,5733.4702,226.60001,0.86699998
2021/1/7 3:13,24.3301,24.441,5835.6499,229.10001,0.83200002
2021/1/7 4:13,24.5606,25.065001,5732.8198,227.2,0.86500001
2021/1/7 5:13,19.4199,24.931999,5617.6201,226.60001,0.87800002
2021/1/7 6:13,23.2695,15.735,3517.1399,221.3,0.87300003
2021/1/7 7:13,24.5899,24.719,5711.77,227,0.85500002
2021/1/7 8:13,21.1904,24.662001,5853.6499,225.60001,0.82800001
2021/1/7 9:13,24.8398,24.643999,5591.7998,222.89999,0.86299998
2021/1/7 10:13,24.9795,24.981001,5350.77,225,0.92199999
2021/1/7 11:13,25.0508,25.326,5599.1802,229.39999,0.903
2021/1/7 12:13,18.25,24.933001,5539.0801,228.39999,0.89499998
2021/1/7 13:13,17.6797,18.006001,4129.3599,223,0.85299999
2021/1/7 14:13,16.9404,17.950001,3884.8601,222.89999,0.90799999
2021/1/7 15:13,20.6592,18.660999,3936.28,224.39999,0.93599999
2021/1/7 16:13,25.2305,32.978001,7597.6899,229.3,0.86299998
2021/1/7 17:13,27.8701,30.023001,6758.7598,226.5,0.87900001
2021/1/7 18:13,23.7402,17.712999,3798.0901,222.39999,0.91500002
2021/1/7 19:13,30.1895,31.204,7267.0601,226.8,0.84799999
2021/1/7 20:13,30.0605,29.9,6814.5098,227.39999,0.86900002
2021/1/7 21:13,29.7901,29.819,7164.8799,227.39999,0.82099998
2021/1/7 22:14,29.8593,29.641001,7123.4399,227.5,0.82099998
2021/1/7 23:14,27.3301,29.947001,6857.6802,226.7,0.86299998
2021/1/8 0:14,30.0899,26.113001,5917.4399,223.3,0.86500001
2021/1/8 1:14,29.79,30.052999,7189.6099,226.60001,0.82300001
2021/1/8 2:14,29.75,29.931,7208.9199,228.10001,0.81999999
2021/1/8 3:14,26.3301,29.938,7238.4302,230.3,0.82200003
2021/1/8 4:14,29.9902,29.357,6867.6602,226.2,0.84200001
2021/1/8 5:14,30.1602,30.344999,7362.2998,226.2,0.81
2021/1/8 6:14,29.0801,30.259001,7136.46,226.7,0.83600003
2021/1/8 7:14,30.1396,29.962,7026.8999,227.10001,0.84200001
2021/1/8 8:14,26.1602,30.625999,7167.9199,225.39999,0.83999997
2021/1/8 9:14,26.2695,26.343,5851.0498,225.60001,0.889
2021/1/8 10:14,27.75,28.507,6649.8501,229.7,0.85299999
2021/1/8 11:14,27.4199,27.042,6149.5698,229.7,0.87599999
2021/1/8 12:14,27.4707,27.952,6327.8999,227.39999,0.875
2021/1/8 13:14,27.7598,27.412001,6333.3198,226.10001,0.85299999
2021/1/8 14:14,27.3701,27.535,6293.1899,228.8,0.87
2021/1/8 15:14,27.3896,27.056,6056.7202,229.8,0.89099997
2021/1/8 16:14,27.5606,27.476,6179.9399,229.39999,0.88599998
2021/1/8 17:14,25.3594,27.707001,6294.4902,229.8,0.87699997
2021/1/8 18:14,27.54,27.732,6475.8599,228.2,0.84899998
