Date,cazhi,0,1
2021/1/7 2:13,24.3798,-34.43430621,-419.3956477
2021/1/7 3:13,24.3301,-43.2977182,-521.1993471
2021/1/7 4:13,24.5606,-34.19911125,-418.7663381
2021/1/7 5:13,19.4199,-29.38718302,-303.5512817
2021/1/7 6:13,23.2695,155.5615973,1788.789734
2021/1/7 7:13,24.5899,-32.35456201,-397.7954606
2021/1/7 8:13,21.1904,-47.97168789,-538.8422278
2021/1/7 9:13,24.8398,-21.75477665,-278.2730442
2021/1/7 10:13,24.9795,-0.838019009,-38.17204302
2021/1/7 11:13,25.0508,-22.192372,-285.6834563
2021/1/7 12:13,18.25,-23.78420394,-225.2150049
2021/1/7 13:13,17.6797,97.2039393,1179.328039
2021/1/7 14:13,16.9404,117.5480934,1422.975838
2021/1/7 15:13,20.6592,116.8168279,1371.416706
2021/1/7 16:13,25.2305,-194.3251965,-2276.746954
2021/1/7 17:13,27.8701,-119.3579065,-1441.161669
2021/1/7 18:13,23.7402,131.8047249,1508.83801
2021/1/7 19:13,30.1895,-160.8731814,-1947.762948
2021/1/7 20:13,30.0605,-121.983884,-1496.896157
2021/1/7 21:13,29.7901,-152.4617781,-1845.929211
2021/1/7 22:14,29.8593,-148.8200344,-1804.650376
2021/1/7 23:14,27.3301,-128.4250235,-1539.665518
2021/1/8 0:14,30.0899,-44.60177929,-603.1532716
2021/1/8 1:14,29.79,-154.5927704,-1870.562908
2021/1/8 2:14,29.75,-156.3000595,-1889.80507
2021/1/8 3:14,26.3301,-162.2553718,-1918.922326
2021/1/8 4:14,29.9902,-126.6342261,-1549.8323
2021/1/8 5:14,30.1602,-169.1124963,-2042.636282
2021/1/8 6:14,29.0801,-150.7177444,-1817.552421
2021/1/8 7:14,30.1396,-140.2166257,-1708.495457
2021/1/8 8:14,26.1602,-156.3370863,-1848.636724
2021/1/8 9:14,26.2695,-42.68792252,-536.6965436
2021/1/8 10:14,27.75,-110.0924832,-1332.661924
2021/1/8 11:14,27.4199,-67.28721384,-834.2226786
2021/1/8 12:14,27.4707,-82.60837368,-1011.879289
2021/1/8 13:14,27.7598,-82.78521088,-1017.294293
2021/1/8 14:14,27.3701,-79.71821459,-977.2969833
